GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.warehouse.api.beans,Warehouse,4,34,0,0,2,14,1,10,1,10
java-code-assignment,com.fulfilment.application.monolith.fulfillment,FulfillmentResource,0,84,0,0,0,20,0,7,0,7
java-code-assignment,com.fulfilment.application.monolith.fulfillment,FulfillmentResource.FulfillmentRequest,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.fulfillment,FulfillmentResource.ErrorResponse,0,9,0,0,0,4,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.fulfillment,FulfillmentAssociation,3,18,0,0,1,7,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.fulfillment,FulfillmentService,0,135,0,8,0,26,0,12,0,8
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain.usecases,CreateFulfillmentUseCase,0,87,0,10,0,14,0,8,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,0,12,0,0,0,5,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Warehouse,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource.ErrorMapper,0,48,1,3,0,11,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.products,Product,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,0,119,0,10,0,27,0,12,0,7
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,0,103,0,4,0,17,0,6,0,4
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource,122,35,15,3,31,8,12,5,3,5
java-code-assignment,com.fulfilment.application.monolith.stores,StoreTransactionEvent.Action,0,15,0,0,0,3,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.ErrorMapper,0,48,1,3,0,11,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,StoreTransactionEventListener,0,23,1,3,0,8,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,0,59,0,0,0,20,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.stores,StoreTransactionEvent,0,15,0,0,0,6,0,3,0,3
java-code-assignment,com.fulfilment.application.monolith.stores,Store,0,23,0,0,0,10,0,6,0,6
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,IllegalArgumentExceptionMapper,2,37,1,1,0,9,1,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,117,0,2,0,30,0,9,0,8,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,0,39,0,4,0,11,0,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,22,182,12,24,4,34,12,13,0,7
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,11,264,11,33,1,51,11,19,0,8
java-code-assignment,com.fulfilment.application.monolith.health,WarehouseSystemHealthCheck,21,310,9,9,0,66,9,14,0,14
java-code-assignment,com.fulfilment.application.monolith.health,HealthResource,16,75,2,6,6,15,2,9,0,6
